"Group" "Month" "Combined" "Experimental"
"1" "Control" "4" "4 Control" "Control"
"2" "Control" "2" "2 Control" "Control"
"3" "Control" "2" "2 Control" "Control"
"4" "Control" "2" "2 Control" "Control"
"5" "Control" "2" "2 Control" "Control"
"6" "Control" "2" "2 Control" "Control"
"7" "S. citri" "2" "2 S. citri" "Experimental"
"8" "S. citri" "2" "2 S. citri" "Experimental"
"9" "S. citri" "2" "2 S. citri" "Experimental"
"10" "S. citri" "2" "2 S. citri" "Experimental"
"11" "S. citri" "2" "2 S. citri" "Experimental"
"12" "Mild CTV" "2" "2 Mild CTV" "Experimental"
"13" "Mild CTV" "2" "2 Mild CTV" "Experimental"
"14" "Mild CTV" "2" "2 Mild CTV" "Experimental"
"15" "Mild CTV" "2" "2 Mild CTV" "Experimental"
"16" "Mild CTV" "2" "2 Mild CTV" "Experimental"
"17" "Stem-pitting CTV" "2" "2 Stem-pitting CTV" "Experimental"
"18" "Stem-pitting CTV" "2" "2 Stem-pitting CTV" "Experimental"
"19" "Stem-pitting CTV" "2" "2 Stem-pitting CTV" "Experimental"
"20" "Stem-pitting CTV" "2" "2 Stem-pitting CTV" "Experimental"
"21" "CLas" "2" "2 CLas" "Experimental"
"22" "CLas" "2" "2 CLas" "Experimental"
"23" "CLas" "2" "2 CLas" "Experimental"
"24" "CLas" "2" "2 CLas" "Experimental"
"25" "CLas" "2" "2 CLas" "Experimental"
"26" "CLas + Mild CTV" "2" "2 CLas + Mild CTV" "Experimental"
"27" "CLas + Mild CTV" "2" "2 CLas + Mild CTV" "Experimental"
"28" "CLas + Mild CTV" "2" "2 CLas + Mild CTV" "Experimental"
"29" "CLas + Mild CTV" "2" "2 CLas + Mild CTV" "Experimental"
"30" "CLas + Stem-pitting CTV" "2" "2 CLas + Stem-pitting CTV" "Experimental"
"31" "CLas + Stem-pitting CTV" "2" "2 CLas + Stem-pitting CTV" "Experimental"
"32" "CLas + Stem-pitting CTV" "2" "2 CLas + Stem-pitting CTV" "Experimental"
"33" "CLas + Stem-pitting CTV" "2" "2 CLas + Stem-pitting CTV" "Experimental"
"34" "CLas + Stem-pitting CTV" "2" "2 CLas + Stem-pitting CTV" "Experimental"
"35" "Control" "4" "4 Control" "Control"
"36" "Control" "4" "4 Control" "Control"
"37" "Control" "4" "4 Control" "Control"
"38" "Control" "4" "4 Control" "Control"
